count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
28021,2019,7,"East of England",129,Peterborough,A605,Major,A1129,A15,519000,297900,52.56592300,-0.24577093,1.10,0.68,Estimated,"Estimated using previous year's AADF on this link",432,130,9450,140,1468,67,26,22,5,1,3,124,11311
77187,2019,7,"East of England",129,Peterborough,A1260,Major,A15,"Phorpres Way roundabout",518300,295140,52.54127500,-0.25707620,0.50,0.31,Estimated,"Estimated from nearby links",1,135,33049,81,3166,280,75,224,8,12,101,701,37131
6218,2019,7,"East of England",129,Peterborough,A15,Major,"LA Boundary",A1260,518380,294800,52.53820200,-0.25601827,2.50,1.55,Estimated,"Estimated using previous year's AADF on this link",85,120,19281,39,1766,143,48,70,14,22,40,336,21542
7995,2019,7,"East of England",129,Peterborough,A15,Major,A1129,A605,519000,297330,52.56080100,-0.24597527,0.80,0.50,Counted,"Manual count",252,94,6271,206,678,43,8,5,2,1,2,61,7310
58363,2019,7,"East of England",129,Peterborough,A15,Major,"A15 Werrington Parkway","LA Boundary",513500,309400,52.67043400,-0.32293149,6.00,3.73,Estimated,"Estimated using previous year's AADF on this link",0,177,12831,17,1921,312,59,212,67,309,223,1182,16129
26221,2019,7,"East of England",129,Peterborough,A15,Major,"Maskew Ave roundabout",A47,518000,301070,52.59462500,-0.25938894,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",19,130,24162,137,1989,73,30,29,8,15,8,161,26580
27586,2019,7,"East of England",129,Peterborough,A1260,Major,A605,A1179,516540,297450,52.56241100,-0.28220449,1.00,0.62,Counted,"Manual count",6,287,56230,137,5365,553,133,84,24,97,413,1303,63322
7543,2019,7,"East of England",129,Peterborough,A1260,Major,A1139,A605,517664,296099,52.55003000,-0.26610987,1.70,1.06,Counted,"Manual count",0,161,29183,78,3159,374,42,35,40,54,193,738,33319
70246,2019,7,"East of England",129,Peterborough,A605,Major,"LA Boundary","A605 split",513468,295756,52.54783700,-0.32808091,0.50,0.31,Counted,"Manual count",80,63,5457,26,538,26,6,4,3,11,3,53,6137
47898,2019,7,"East of England",129,Peterborough,A1139,Major,"A1139 Fletton Parkway",A605,515031,295145,52.54201900,-0.30525322,2.10,1.30,Counted,"Manual count",1,80,15278,10,1029,106,26,17,11,10,40,211,16608
