Area,mnemonic,Employees,Employment
lsoa2011:Cambridge 001A,E01017975,150,150
lsoa2011:Cambridge 001B,E01017976,250,300
lsoa2011:Cambridge 001C,E01017977,200,200
lsoa2011:Cambridge 001D,E01017978,175,200
lsoa2011:Cambridge 001E,E01017979,500,500
lsoa2011:Cambridge 001F,E01017980,175,200
lsoa2011:Cambridge 002A,E01017949,700,800
lsoa2011:Cambridge 002B,E01017950,400,450
lsoa2011:Cambridge 002C,E01017951,75,75
lsoa2011:Cambridge 002D,E01017952,100,100
lsoa2011:Cambridge 002E,E01017953,100,100
lsoa2011:Cambridge 002F,E01017954,150,175
lsoa2011:Cambridge 003B,E01017971,7000,7000
lsoa2011:Cambridge 003C,E01017972,50,50
lsoa2011:Cambridge 003D,E01017973,500,500
lsoa2011:Cambridge 003E,E01017974,150,175
lsoa2011:Cambridge 003F,E01032792,350,350
lsoa2011:Cambridge 003G,E01032802,450,450
lsoa2011:Cambridge 004A,E01018006,300,300
lsoa2011:Cambridge 004B,E01018007,200,200
lsoa2011:Cambridge 004C,E01018008,200,200
lsoa2011:Cambridge 004D,E01018009,2000,2000
lsoa2011:Cambridge 004E,E01018010,250,250
lsoa2011:Cambridge 005A,E01017955,75,75
lsoa2011:Cambridge 005B,E01017956,1500,1750
lsoa2011:Cambridge 005C,E01017957,100,100
lsoa2011:Cambridge 005D,E01017958,7000,7000
lsoa2011:Cambridge 006A,E01017943,1500,1500
lsoa2011:Cambridge 006B,E01017944,400,400
lsoa2011:Cambridge 006C,E01017945,1250,1250
lsoa2011:Cambridge 006D,E01017946,300,300
lsoa2011:Cambridge 006E,E01017947,600,700
lsoa2011:Cambridge 006F,E01017948,100,100
lsoa2011:Cambridge 007C,E01017983,3500,4000
lsoa2011:Cambridge 007D,E01017984,4000,4000
lsoa2011:Cambridge 007E,E01017985,800,900
lsoa2011:Cambridge 007F,E01017986,3000,3000
lsoa2011:Cambridge 007G,E01032797,18000,18000
lsoa2011:Cambridge 008A,E01017987,2500,2500
lsoa2011:Cambridge 008B,E01017988,600,700
lsoa2011:Cambridge 008C,E01017989,450,450
lsoa2011:Cambridge 008D,E01017990,800,800
